Cre01.g000017.t1.1	CHLRE_01g000017v5
Cre01.g005813.t1.1	CHLRE_01g005813v5
Cre01.g005850.t1.1	CHLRE_01g005850v5
Cre01.g005900.t1.1	CHLRE_01g005900v5
Cre01.g005950.t1.1	CHLRE_01g005950v5
Cre01.g006000.t1.1	CHLRE_01g006000v5
Cre01.g006050.t1.1	CHLRE_01g006050v5
Cre01.g006100.t1.1	CHLRE_01g006100v5
Cre01.g006150.t1.1	CHLRE_01g006150v5
Cre01.g006202.t1.1	CHLRE_01g006202v5
Cre01.g006250.t1.1	CHLRE_01g006250v5
Cre01.g006301.t1.1	CHLRE_01g006301v5
Cre01.g006352.t1.1	CHLRE_01g006352v5
Cre01.g006402.t1.1	CHLRE_01g006402v5
Cre01.g006450.t1.1	CHLRE_01g006450v5
Cre01.g006500.t1.1	CHLRE_01g006500v5
Cre01.g006550.t1.1	CHLRE_01g006550v5
Cre01.g006576.t1.1	CHLRE_01g006576v5
Cre01.g006600.t1.1	CHLRE_01g006600v5
Cre01.g006614.t1.1	CHLRE_01g006614v5
Cre01.g006628.t1.1	CHLRE_01g006628v5
Cre01.g006642.t1.1	CHLRE_01g006642v5
Cre01.g006656.t1.1	CHLRE_01g006656v5
Cre01.g006670.t1.1	CHLRE_01g006670v5
Cre01.g006700.t1.1	CHLRE_01g006700v5
Cre01.g006733.t1.1	CHLRE_01g006733v5
Cre01.g006766.t1.1	CHLRE_01g006766v5
Cre01.g006800.t1.1	CHLRE_01g006800v5
Cre01.g006850.t1.1	CHLRE_01g006850v5
Cre01.g006876.t1.1	CHLRE_01g006876v5
Cre01.g006900.t1.1	CHLRE_01g006900v5
Cre01.g006950.t1.1	CHLRE_01g006950v5
Cre01.g007000.t1.1	CHLRE_01g007000v5
Cre01.g007050.t1.1	CHLRE_01g007050v5
Cre01.g007051.t1.1	CHLRE_01g007051v5
Cre01.g007100.t1.1	CHLRE_01g007100v5
Cre01.g007150.t1.1	CHLRE_01g007150v5
Cre01.g007200.t1.1	CHLRE_01g007200v5
Cre01.g007251.t1.1	CHLRE_01g007251v5
Cre01.g007300.t1.1	CHLRE_01g007300v5
Cre01.g007350.t1.1	CHLRE_01g007350v5
Cre01.g007400.t1.1	CHLRE_01g007400v5
Cre01.g007450.t1.1	CHLRE_01g007450v5
Cre01.g007500.t1.1	CHLRE_01g007500v5
Cre01.g007550.t1.1	CHLRE_01g007550v5
Cre01.g007600.t1.1	CHLRE_01g007600v5
Cre01.g007651.t1.1	CHLRE_01g007651v5
Cre01.g007700.t1.1	CHLRE_01g007700v5
Cre01.g007737.t1.1	CHLRE_01g007737v5
Cre01.g007774.t1.1	CHLRE_01g007774v5
Cre01.g007811.t1.1	CHLRE_01g007811v5
Cre01.g007850.t1.1	CHLRE_01g007850v5
Cre01.g007901.t1.1	CHLRE_01g007901v5
Cre01.g007950.t1.1	CHLRE_01g007950v5
Cre01.g008000.t1.1	CHLRE_01g008000v5
Cre01.g008051.t1.1	CHLRE_01g008051v5
Cre01.g008100.t1.1	CHLRE_01g008100v5
Cre01.g008150.t1.1	CHLRE_01g008150v5
Cre01.g008200.t1.1	CHLRE_01g008200v5
Cre01.g008250.t1.1	CHLRE_01g008250v5
Cre01.g008300.t1.1	CHLRE_01g008300v5
Cre01.g008350.t1.1	CHLRE_01g008350v5
Cre01.g008402.t1.1	CHLRE_01g008402v5
Cre01.g008450.t1.1	CHLRE_01g008450v5
Cre01.g008500.t1.1	CHLRE_01g008500v5
Cre01.g008550.t1.1	CHLRE_01g008550v5
Cre01.g008600.t1.1	CHLRE_01g008600v5
Cre01.g008650.t1.1	CHLRE_01g008650v5
Cre01.g008700.t1.1	CHLRE_01g008700v5
Cre01.g008750.t1.1	CHLRE_01g008750v5
Cre01.g008800.t1.1	CHLRE_01g008800v5
Cre01.g008850.t1.1	CHLRE_01g008850v5
Cre01.g008891.t1.1	CHLRE_01g008891v5
Cre01.g008900.t1.1	CHLRE_01g008900v5
Cre01.g008950.t1.1	CHLRE_01g008950v5
Cre01.g008976.t1.1	CHLRE_01g008976v5
Cre01.g009000.t1.1	CHLRE_01g009000v5
Cre01.g009025.t1.1	CHLRE_01g009025v5
Cre01.g009050.t1.1	CHLRE_01g009050v5
Cre01.g009101.t1.1	CHLRE_01g009101v5
Cre01.g009150.t1.1	CHLRE_01g009150v5
Cre01.g009200.t1.1	CHLRE_01g009200v5
Cre01.g009250.t1.1	CHLRE_01g009250v5
Cre01.g009300.t1.1	CHLRE_01g009300v5
Cre01.g009325.t1.1	CHLRE_01g009325v5
Cre01.g009350.t1.1	CHLRE_01g009350v5
Cre01.g009400.t1.1	CHLRE_01g009400v5
Cre01.g009450.t1.1	CHLRE_01g009450v5
Cre01.g009500.t1.1	CHLRE_01g009500v5
Cre01.g009550.t1.1	CHLRE_01g009550v5
Cre01.g009575.t1.1	CHLRE_01g009575v5
Cre01.g009601.t1.1	CHLRE_01g009601v5
Cre01.g009650.t1.1	CHLRE_01g009650v5
Cre01.g009676.t1.1	CHLRE_01g009676v5
Cre01.g009700.t1.1	CHLRE_01g009700v5
Cre01.g009731.t1.1	CHLRE_01g009731v5
Cre01.g009765.t1.1	CHLRE_01g009765v5
Cre01.g009800.t1.1	CHLRE_01g009800v5
Cre01.g009850.t1.1	CHLRE_01g009850v5
Cre01.g009900.t1.1	CHLRE_01g009900v5
Cre01.g009950.t1.1	CHLRE_01g009950v5
Cre01.g010000.t1.1	CHLRE_01g010000v5
Cre01.g010050.t1.1	CHLRE_01g010050v5
Cre01.g010100.t1.1	CHLRE_01g010100v5
Cre01.g010150.t1.1	CHLRE_01g010150v5
Cre01.g010201.t1.1	CHLRE_01g010201v5
Cre01.g010250.t1.1	CHLRE_01g010250v5
Cre01.g010296.t1.1	CHLRE_01g010296v5
Cre01.g010300.t1.1	CHLRE_01g010300v5
Cre01.g010350.t1.1	CHLRE_01g010350v5
Cre01.g010400.t1.1	CHLRE_01g010400v5
Cre01.g010450.t1.1	CHLRE_01g010450v5
Cre01.g010500.t1.1	CHLRE_01g010500v5
Cre01.g010550.t1.1	CHLRE_01g010550v5
Cre01.g010650.t1.1	CHLRE_01g010650v5
Cre01.g010700.t1.1	CHLRE_01g010700v5
Cre01.g010750.t1.1	CHLRE_01g010750v5
Cre01.g010800.t1.1	CHLRE_01g010800v5
Cre01.g010816.t1.1	CHLRE_01g010816v5
Cre01.g010832.t1.1	CHLRE_01g010832v5
Cre01.g010848.t1.1	CHLRE_01g010848v5
Cre01.g010864.t1.1	CHLRE_01g010864v5
Cre01.g010880.t1.1	CHLRE_01g010880v5
Cre01.g010900.t1.1	CHLRE_01g010900v5
Cre01.g010950.t1.1	CHLRE_01g010950v5
Cre01.g011000.t1.1	CHLRE_01g011000v5
Cre01.g011050.t1.1	CHLRE_01g011050v5
Cre01.g011100.t1.1	CHLRE_01g011100v5
Cre01.g011150.t1.1	CHLRE_01g011150v5
Cre01.g011200.t1.1	CHLRE_01g011200v5
Cre01.g011250.t1.1	CHLRE_01g011250v5
Cre01.g011300.t1.1	CHLRE_01g011300v5
Cre01.g011350.t1.1	CHLRE_01g011350v5
Cre01.g011376.t1.1	CHLRE_01g011376v5
Cre01.g011400.t1.1	CHLRE_01g011400v5
Cre01.g011450.t1.1	CHLRE_01g011450v5
Cre01.g011500.t1.1	CHLRE_01g011500v5
Cre01.g011550.t1.1	CHLRE_01g011550v5
Cre01.g011600.t1.1	CHLRE_01g011600v5
Cre01.g011630.t1.1	CHLRE_01g011630v5
Cre01.g011660.t1.1	CHLRE_01g011660v5
Cre01.g011750.t1.1	CHLRE_01g011750v5
Cre01.g011800.t1.1	CHLRE_01g011800v5
Cre01.g011850.t1.1	CHLRE_01g011850v5
Cre01.g011901.t1.1	CHLRE_01g011901v5
Cre01.g011950.t1.1	CHLRE_01g011950v5
Cre01.g012000.t1.1	CHLRE_01g012000v5
Cre01.g012050.t1.1	CHLRE_01g012050v5
Cre01.g012100.t1.1	CHLRE_01g012100v5
Cre01.g012126.t1.1	CHLRE_01g012126v5
Cre01.g012150.t1.1	CHLRE_01g012150v5
Cre01.g012175.t1.1	CHLRE_01g012175v5
Cre01.g012200.t1.1	CHLRE_01g012200v5
Cre01.g012222.t1.1	CHLRE_01g012222v5
Cre01.g012244.t1.1	CHLRE_01g012244v5
Cre01.g012300.t1.1	CHLRE_01g012300v5
Cre01.g012350.t1.1	CHLRE_01g012350v5
Cre01.g012400.t1.1	CHLRE_01g012400v5
Cre01.g012450.t1.1	CHLRE_01g012450v5
Cre01.g012500.t1.1	CHLRE_01g012500v5
Cre01.g012550.t1.1	CHLRE_01g012550v5
Cre01.g012600.t1.1	CHLRE_01g012600v5
Cre01.g012650.t1.1	CHLRE_01g012650v5
Cre01.g012700.t1.1	CHLRE_01g012700v5
Cre01.g012750.t1.1	CHLRE_01g012750v5
Cre01.g012800.t1.1	CHLRE_01g012800v5
Cre01.g012850.t1.1	CHLRE_01g012850v5
Cre01.g012900.t1.1	CHLRE_01g012900v5
Cre01.g012950.t1.1	CHLRE_01g012950v5
Cre01.g013000.t1.1	CHLRE_01g013000v5
Cre01.g013050.t1.1	CHLRE_01g013050v5
Cre01.g013100.t1.1	CHLRE_01g013100v5
Cre01.g013150.t1.1	CHLRE_01g013150v5
Cre01.g013200.t1.1	CHLRE_01g013200v5
Cre01.g013250.t1.1	CHLRE_01g013250v5
Cre01.g013300.t1.1	CHLRE_01g013300v5
Cre01.g013350.t1.1	CHLRE_01g013350v5
Cre01.g013400.t1.1	CHLRE_01g013400v5
Cre01.g013450.t1.1	CHLRE_01g013450v5
Cre01.g013500.t1.1	CHLRE_01g013500v5
Cre01.g013550.t1.1	CHLRE_01g013550v5
Cre01.g013600.t1.1	CHLRE_01g013600v5
Cre01.g013650.t1.1	CHLRE_01g013650v5
Cre01.g013700.t1.1	CHLRE_01g013700v5
Cre01.g013750.t1.1	CHLRE_01g013750v5
Cre01.g013769.t1.1	CHLRE_01g013769v5
Cre01.g013800.t1.1	CHLRE_01g013800v5
Cre01.g013801.t1.1	CHLRE_01g013801v5
Cre01.g013850.t1.1	CHLRE_01g013850v5
Cre01.g013900.t1.1	CHLRE_01g013900v5
Cre01.g014000.t1.1	CHLRE_01g014000v5
Cre01.g014050.t1.1	CHLRE_01g014050v5
Cre01.g014100.t1.1	CHLRE_01g014100v5
Cre01.g014150.t1.1	CHLRE_01g014150v5
Cre01.g014200.t1.1	CHLRE_01g014200v5
Cre01.g014250.t1.1	CHLRE_01g014250v5
Cre01.g014300.t1.1	CHLRE_01g014300v5
Cre01.g014350.t1.1	CHLRE_01g014350v5
Cre01.g014400.t1.1	CHLRE_01g014400v5
Cre01.g014450.t1.1	CHLRE_01g014450v5
Cre01.g014500.t1.1	CHLRE_01g014500v5
Cre01.g014600.t1.1	CHLRE_01g014600v5
Cre01.g014650.t1.1	CHLRE_01g014650v5
Cre01.g014700.t1.1	CHLRE_01g014700v5
Cre01.g014751.t1.1	CHLRE_01g014751v5
Cre01.g014800.t1.1	CHLRE_01g014800v5
Cre01.g014850.t1.1	CHLRE_01g014850v5
Cre01.g014900.t1.1	CHLRE_01g014900v5
Cre01.g014950.t1.1	CHLRE_01g014950v5
Cre01.g015000.t1.1	CHLRE_01g015000v5
Cre01.g015050.t1.1	CHLRE_01g015050v5
Cre01.g015100.t1.1	CHLRE_01g015100v5
Cre01.g015103.t1.1	CHLRE_01g015103v5
Cre01.g015150.t1.1	CHLRE_01g015150v5
Cre01.g015200.t1.1	CHLRE_01g015200v5
Cre01.g015250.t1.1	CHLRE_01g015250v5
Cre01.g015300.t1.1	CHLRE_01g015300v5
Cre01.g015350.t1.1	CHLRE_01g015350v5
Cre01.g015400.t1.1	CHLRE_01g015400v5
Cre01.g015451.t1.1	CHLRE_01g015451v5
Cre01.g015500.t1.1	CHLRE_01g015500v5
Cre01.g015550.t1.1	CHLRE_01g015550v5
Cre01.g015600.t1.1	CHLRE_01g015600v5
Cre01.g015650.t1.1	CHLRE_01g015650v5
Cre01.g015700.t1.1	CHLRE_01g015700v5
Cre01.g015750.t1.1	CHLRE_01g015750v5
Cre01.g015850.t1.1	CHLRE_01g015850v5
Cre01.g015950.t1.1	CHLRE_01g015950v5
Cre01.g016001.t1.1	CHLRE_01g016001v5
Cre01.g016050.t1.1	CHLRE_01g016050v5
Cre01.g016100.t1.1	CHLRE_01g016100v5
Cre01.g016150.t1.1	CHLRE_01g016150v5
Cre01.g016200.t1.1	CHLRE_01g016200v5
Cre01.g016250.t1.1	CHLRE_01g016250v5
Cre01.g016300.t1.1	CHLRE_01g016300v5
Cre01.g016350.t1.1	CHLRE_01g016350v5
Cre01.g016400.t1.1	CHLRE_01g016400v5
Cre01.g016450.t1.1	CHLRE_01g016450v5
Cre01.g016500.t1.1	CHLRE_01g016500v5
Cre01.g016514.t1.1	CHLRE_01g016514v5
Cre01.g016528.t1.1	CHLRE_01g016528v5
Cre01.g016542.t1.1	CHLRE_01g016542v5
Cre01.g016556.t1.1	CHLRE_01g016556v5
Cre01.g016570.t1.1	CHLRE_01g016570v5
Cre01.g016600.t1.1	CHLRE_01g016600v5
Cre01.g016651.t1.1	CHLRE_01g016651v5
Cre01.g016700.t1.1	CHLRE_01g016700v5
Cre01.g016750.t1.1	CHLRE_01g016750v5
Cre01.g016800.t1.1	CHLRE_01g016800v5
Cre01.g016850.t1.1	CHLRE_01g016850v5
Cre01.g016900.t1.1	CHLRE_01g016900v5
Cre01.g016950.t1.1	CHLRE_01g016950v5
Cre01.g017050.t1.1	CHLRE_01g017050v5
Cre01.g017100.t1.1	CHLRE_01g017100v5
Cre01.g017150.t1.1	CHLRE_01g017150v5
Cre01.g017200.t1.1	CHLRE_01g017200v5
Cre01.g017250.t1.1	CHLRE_01g017250v5
Cre01.g017300.t1.1	CHLRE_01g017300v5
Cre01.g017350.t1.1	CHLRE_01g017350v5
Cre01.g017400.t1.1	CHLRE_01g017400v5
Cre01.g017450.t1.1	CHLRE_01g017450v5
Cre01.g017500.t1.1	CHLRE_01g017500v5
Cre01.g017550.t1.1	CHLRE_01g017550v5
Cre01.g017600.t1.1	CHLRE_01g017600v5
Cre01.g017650.t1.1	CHLRE_01g017650v5
Cre01.g017701.t1.1	CHLRE_01g017701v5
Cre01.g017750.t1.1	CHLRE_01g017750v5
Cre01.g017850.t1.1	CHLRE_01g017850v5
Cre01.g017900.t1.1	CHLRE_01g017900v5
Cre01.g017951.t1.1	CHLRE_01g017951v5
Cre01.g018000.t1.1	CHLRE_01g018000v5
Cre01.g018050.t1.1	CHLRE_01g018050v5
Cre01.g018075.t1.1	CHLRE_01g018075v5
Cre01.g018100.t1.1	CHLRE_01g018100v5
Cre01.g018150.t1.1	CHLRE_01g018150v5
Cre01.g018184.t1.1	CHLRE_01g018184v5
Cre01.g018200.t1.1	CHLRE_01g018200v5
Cre01.g018350.t1.1	CHLRE_01g018350v5
Cre01.g018400.t1.1	CHLRE_01g018400v5
Cre01.g018450.t1.1	CHLRE_01g018450v5
Cre01.g018500.t1.1	CHLRE_01g018500v5
Cre01.g018550.t1.1	CHLRE_01g018550v5
Cre01.g018600.t1.1	CHLRE_01g018600v5
Cre01.g018650.t1.1	CHLRE_01g018650v5
Cre01.g018700.t1.1	CHLRE_01g018700v5
Cre01.g018750.t1.1	CHLRE_01g018750v5
Cre01.g018800.t1.1	CHLRE_01g018800v5
Cre01.g018850.t1.1	CHLRE_01g018850v5
Cre01.g018900.t1.1	CHLRE_01g018900v5
Cre01.g018950.t1.1	CHLRE_01g018950v5
Cre01.g019000.t1.1	CHLRE_01g019000v5
Cre01.g019051.t1.1	CHLRE_01g019051v5
Cre01.g019100.t1.1	CHLRE_01g019100v5
Cre01.g019150.t1.1	CHLRE_01g019150v5
Cre01.g019200.t1.1	CHLRE_01g019200v5
Cre01.g019250.t1.1	CHLRE_01g019250v5
Cre01.g019300.t1.1	CHLRE_01g019300v5
Cre01.g019400.t1.1	CHLRE_01g019400v5
Cre01.g019450.t1.1	CHLRE_01g019450v5
Cre01.g019500.t1.1	CHLRE_01g019500v5
Cre01.g019550.t1.1	CHLRE_01g019550v5
Cre01.g019600.t1.1	CHLRE_01g019600v5
Cre01.g019650.t1.1	CHLRE_01g019650v5
Cre01.g019700.t1.1	CHLRE_01g019700v5
Cre01.g019750.t1.1	CHLRE_01g019750v5
Cre01.g019850.t1.1	CHLRE_01g019850v5
Cre01.g019900.t1.1	CHLRE_01g019900v5
Cre01.g019950.t1.1	CHLRE_01g019950v5
Cre01.g020000.t1.1	CHLRE_01g020000v5
Cre01.g020050.t1.1	CHLRE_01g020050v5
Cre01.g020100.t1.1	CHLRE_01g020100v5
Cre01.g020141.t1.1	CHLRE_01g020141v5
Cre01.g020182.t1.1	CHLRE_01g020182v5
Cre01.g020223.t1.1	CHLRE_01g020223v5
Cre01.g020264.t1.1	CHLRE_01g020264v5
Cre01.g020305.t1.1	CHLRE_01g020305v5
Cre01.g020350.t1.1	CHLRE_01g020350v5
Cre01.g020400.t1.1	CHLRE_01g020400v5
Cre01.g020450.t1.1	CHLRE_01g020450v5
Cre01.g020500.t1.1	CHLRE_01g020500v5
Cre01.g020575.t1.1	CHLRE_01g020575v5
Cre01.g020650.t1.1	CHLRE_01g020650v5
Cre01.g020701.t1.1	CHLRE_01g020701v5
Cre01.g020750.t1.1	CHLRE_01g020750v5
Cre01.g020751.t1.1	CHLRE_01g020751v5
Cre01.g020800.t1.1	CHLRE_01g020800v5
Cre01.g020850.t1.1	CHLRE_01g020850v5
Cre01.g020887.t1.1	CHLRE_01g020887v5
Cre01.g020918.t1.1	CHLRE_01g020918v5
Cre01.g020950.t1.1	CHLRE_01g020950v5
Cre01.g021000.t1.1	CHLRE_01g021000v5
Cre01.g021050.t1.1	CHLRE_01g021050v5
Cre01.g021100.t1.1	CHLRE_01g021100v5
Cre01.g021150.t1.1	CHLRE_01g021150v5
Cre01.g021200.t1.1	CHLRE_01g021200v5
Cre01.g021251.t1.1	CHLRE_01g021251v5
Cre01.g021300.t1.1	CHLRE_01g021300v5
Cre01.g021350.t1.1	CHLRE_01g021350v5
Cre01.g021400.t1.1	CHLRE_01g021400v5
Cre01.g021450.t1.1	CHLRE_01g021450v5
Cre01.g021500.t1.1	CHLRE_01g021500v5
Cre01.g021550.t1.1	CHLRE_01g021550v5
Cre01.g021600.t1.1	CHLRE_01g021600v5
Cre01.g021650.t1.1	CHLRE_01g021650v5
Cre01.g021700.t1.1	CHLRE_01g021700v5
Cre01.g021750.t1.1	CHLRE_01g021750v5
Cre01.g021800.t1.1	CHLRE_01g021800v5
Cre01.g021850.t1.1	CHLRE_01g021850v5
Cre01.g021900.t1.1	CHLRE_01g021900v5
Cre01.g021950.t1.1	CHLRE_01g021950v5
Cre01.g022000.t1.1	CHLRE_01g022000v5
Cre01.g022050.t1.1	CHLRE_01g022050v5
Cre01.g022100.t1.1	CHLRE_01g022100v5
Cre01.g022150.t1.1	CHLRE_01g022150v5
Cre01.g022200.t1.1	CHLRE_01g022200v5
Cre01.g022250.t1.1	CHLRE_01g022250v5
Cre01.g022283.t1.1	CHLRE_01g022283v5
Cre01.g022350.t1.1	CHLRE_01g022350v5
Cre01.g022400.t1.1	CHLRE_01g022400v5
Cre01.g022450.t1.1	CHLRE_01g022450v5
Cre01.g022462.t1.1	CHLRE_01g022462v5
Cre01.g022500.t1.1	CHLRE_01g022500v5
Cre01.g022550.t1.1	CHLRE_01g022550v5
Cre01.g022600.t1.1	CHLRE_01g022600v5
Cre01.g022650.t1.1	CHLRE_01g022650v5
Cre01.g022666.t1.1	CHLRE_01g022666v5
Cre01.g022681.t1.1	CHLRE_01g022681v5
Cre01.g022700.t1.1	CHLRE_01g022700v5
Cre01.g022750.t1.1	CHLRE_01g022750v5
Cre01.g022800.t1.1	CHLRE_01g022800v5
Cre01.g022850.t1.1	CHLRE_01g022850v5
Cre01.g022900.t1.1	CHLRE_01g022900v5
Cre01.g022950.t1.1	CHLRE_01g022950v5
Cre01.g023000.t1.1	CHLRE_01g023000v5
Cre01.g023050.t1.1	CHLRE_01g023050v5
Cre01.g023100.t1.1	CHLRE_01g023100v5
Cre01.g023150.t1.1	CHLRE_01g023150v5
Cre01.g023200.t1.1	CHLRE_01g023200v5
Cre01.g023250.t1.1	CHLRE_01g023250v5
Cre01.g023300.t1.1	CHLRE_01g023300v5
Cre01.g023350.t1.1	CHLRE_01g023350v5
Cre01.g023400.t1.1	CHLRE_01g023400v5
Cre01.g023450.t1.1	CHLRE_01g023450v5
